,codeBlockId,codeBlock_start,codeBlock_end,codeBlock_fileinfo,codeblock_Code,tokens,codeCloneBlockId,codeCloneBlock_Fileinfo,Similarity_Tokens,Similarity_Variable_Flow,Similarity_MethodCall_Flow,nloc,change_type,commitinfo,committer_date,sum,Revision,datetime
0,CodeBlock1,30,44,Card - Copy.java,"['    public int compareTo(Card that) {', '        if (this.suit < that.suit) {', '            return -1;', '        }', '        if (this.suit > that.suit) {', '            return 1;', '        }', '        if (this.rank < that.rank) {', '            return -1;', '        }', '        if (this.rank > that.rank) {', '            return 1;', '        }', '        return 0;', '    }']","{'public': 1, 'int': 1, 'compareTo': 1, 'TOKEN_VARIABLE': 10, 'if': 4, 'return': 5, 'INTEGER_LITERAL': 7}",CodeBlock2,Card.java,1.0,1.0,1.0,44,ModificationType.ADD,7a4f99e44e36b7e861ccc4e821773fc9c72cd9e3,2022-10-18 23:18:39+05:18,<NA>,2,2022-10-19 02:55:08.759541
1,CodeBlock2,30,44,Card.java,"['    public int compareTo(Card that) {', '        if (this.suit < that.suit) {', '            return -1;', '        }', '        if (this.suit > that.suit) {', '            return 1;', '        }', '        if (this.rank < that.rank) {', '            return -1;', '        }', '        if (this.rank > that.rank) {', '            return 1;', '        }', '        return 0;', '    }']","{'public': 1, 'int': 1, 'compareTo': 1, 'TOKEN_VARIABLE': 10, 'if': 4, 'return': 5, 'INTEGER_LITERAL': 7}",CodeBlock1,Card - Copy.java,1.0,1.0,1.0,44,ModificationType.ADD,7a4f99e44e36b7e861ccc4e821773fc9c72cd9e3,2022-10-18 23:18:39+05:18,<NA>,2,2022-10-19 02:55:08.759541
